Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",33000,2,194,2018,3840000,серый,автомат,задний,Дизель,Салават
BMW 5 серии M550i xDrive VII (G30/G31),BMW,5 серии M550i xDrive VII (G30/G31),192000,"4,4",462,2019,2880000,чёрный,автомат,полный,Бензин,Москва
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),132000,2,265,2019,3520000,серый,робот,полный,Бензин,Москва
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),91000,2,249,2018,3640000,чёрный,автомат,полный,Бензин,Ростов-на-Дону
BMW 5 серии 523i VII (G30/G31),BMW,5 серии 523i VII (G30/G31),122000,2,184,2018,2670000,чёрный,автомат,задний,Бензин,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),47000,2,190,2018,2230000,чёрный,робот,передний,Дизель,Минск
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",130000,2,194,2019,2820000,чёрный,автомат,полный,Дизель,Краснодар
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),43000,2,190,2019,3940000,серый,автомат,полный,Дизель,Владимир
"Mercedes-Benz E-Класс 400 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 d V (W213, S213, C238)",52000,"2,9",340,2019,4490000,синий,автомат,полный,Дизель,Санкт-Петербург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",36000,2,197,2019,3580000,чёрный,автомат,полный,Бензин,Оренбург
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",102000,2,194,2018,3300000,чёрный,автомат,полный,Дизель,Тюмень
Audi A4 V (B9),Audi,A4 V (B9),156000,"1,4",150,2019,2900000,серебристый,робот,передний,Бензин,Минск
BMW 5 серии M550i xDrive VII (G30/G31),BMW,5 серии M550i xDrive VII (G30/G31),129000,"4,4",462,2018,3530000,серый,автомат,полный,Бензин,Новокузнецк
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),1000,2,245,2021,7180000,серый,робот,передний,Бензин,Минск
BMW 5 серии M550i xDrive VII (G30/G31),BMW,5 серии M550i xDrive VII (G30/G31),127000,"4,4",462,2018,2780000,серый,автомат,полный,Бензин,Серпухов
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",97000,2,184,2017,3100000,коричневый,автомат,задний,Бензин,Москва
Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 350 d Long 4MATIC VII (W223),16000,"2,9",249,2021,13300000,чёрный,автомат,полный,Дизель,Москва
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),33000,2,184,2021,4350000,чёрный,автомат,задний,Бензин,Казань
BMW 5 серии M550d xDrive VII (G30/G31),BMW,5 серии M550d xDrive VII (G30/G31),157000,3,400,2018,2560000,чёрный,автомат,полный,Дизель,Истра
BMW 5 серии 523i VII (G30/G31),BMW,5 серии 523i VII (G30/G31),98000,2,184,2017,3900000,серый,автомат,задний,Бензин,Киров
BMW 3 серии M340i xDrive VII (G2x),BMW,3 серии M340i xDrive VII (G2x),45000,3,374,2019,3450000,белый,автомат,полный,Бензин,Краснодар
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),90000,2,265,2018,3990000,чёрный,робот,полный,Бензин,Ульяновск
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",126000,2,184,2016,3100000,серебристый,автомат,задний,Бензин,Москва
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),58000,2,190,2018,3540000,белый,автомат,полный,Дизель,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",99000,2,197,2019,2930000,чёрный,автомат,задний,Бензин,Москва
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),47000,3,249,2019,4550000,серебристый,автомат,полный,Дизель,Иркутск
"Mercedes-Benz E-Класс 400 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 d V (W213, S213, C238)",75000,"2,9",340,2016,2450000,чёрный,автомат,полный,Дизель,Берёзовский
BMW 5 серии 540d xDrive VII (G30/G31),BMW,5 серии 540d xDrive VII (G30/G31),64000,3,320,2018,2430000,чёрный,автомат,полный,Дизель,Минск
BMW 3 серии 318d VII (G2x),BMW,3 серии 318d VII (G2x),59000,2,150,2019,3240000,белый,механика,задний,Дизель,Минск
Audi A4 V (B9),Audi,A4 V (B9),14000,"1,4",150,2019,2980000,белый,робот,передний,Бензин,Котельники
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),181000,2,190,2018,2630000,чёрный,механика,задний,Дизель,Минск
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",76000,2,197,2019,3000000,белый,автомат,задний,Бензин,Красноярск
