Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
BMW 5 серии 523i VII (G30/G31),BMW,5 серии 523i VII (G30/G31),65000,2,184,2018,3440000,синий,автомат,задний,Бензин,Москва
BMW 5 серии M550i xDrive VII (G30/G31),BMW,5 серии M550i xDrive VII (G30/G31),188000,"4,4",462,2019,2980000,чёрный,автомат,полный,Бензин,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",25000,2,184,2019,4450000,серый,автомат,полный,Бензин,Красноярск
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),124000,2,252,2019,3330000,серый,автомат,полный,Бензин,Москва
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),74000,3,231,2018,5400000,чёрный,автомат,полный,Дизель,Тула
"Mercedes-Benz E-Класс 350 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 d V (W213, S213, C238)",17000,3,258,2018,3720000,чёрный,автомат,полный,Дизель,Казань
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),100000,2,249,2017,3750000,синий,автомат,полный,Бензин,Краснодар
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),26000,2,190,2021,4750000,белый,автомат,полный,Дизель,Нижний Новгород
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",97000,2,184,2016,2450000,коричневый,автомат,задний,Бензин,Балашиха
Mercedes-Benz S-Класс 580 Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 580 Long 4MATIC VII (W223),58000,4,503,2021,16160000,чёрный,автомат,полный,Бензин,Москва
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),103000,2,190,2017,3500000,серый,автомат,полный,Дизель,Знамя Октября
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),140000,2,190,2018,2250000,белый,автомат,полный,Дизель,Сочи
Audi A4 V (B9),Audi,A4 V (B9),41000,2,249,2017,3000000,чёрный,робот,полный,Бензин,Ростов-на-Дону
Mercedes-Benz S-Класс 450 Long VII (W223),Mercedes-Benz,S-Класс 450 Long VII (W223),3000,3,367,2021,16500000,чёрный,автомат,полный,Бензин,Москва
Audi A6 40 TDI V (C8),Audi,A6 40 TDI V (C8),50000,2,204,2019,4800000,чёрный,робот,передний,Дизель,Санкт-Петербург
BMW 5 серии M550d xDrive VII (G30/G31),BMW,5 серии M550d xDrive VII (G30/G31),148000,3,400,2018,3390000,синий,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии M550d xDrive VII (G30/G31),BMW,5 серии M550d xDrive VII (G30/G31),131000,3,400,2019,3390000,синий,автомат,полный,Дизель,Тольятти
BMW 3 серии 318d VII (G2x),BMW,3 серии 318d VII (G2x),20000,2,150,2020,3700000,оранжевый,механика,задний,Дизель,Москва
BMW 5 серии 530d VII (G30/G31),BMW,5 серии 530d VII (G30/G31),72000,3,265,2018,4500000,чёрный,автомат,задний,Дизель,Чита
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),65000,2,190,2018,3790000,синий,автомат,задний,Дизель,Москва
"Mercedes-Benz E-Класс All-Terrain 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс All-Terrain 220 d V (W213, S213, C238)",114000,2,194,2017,3230000,коричневый,автомат,полный,Дизель,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),124000,2,122,2017,1910000,серый,робот,передний,Дизель,Санкт-Петербург
BMW 3 серии M340d xDrive VII (G2x),BMW,3 серии M340d xDrive VII (G2x),75000,3,340,2019,3590000,серый,автомат,полный,Дизель,Москва
"Mercedes-Benz E-Класс 200 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 d V (W213, S213, C238)",245000,2,150,2018,2300000,чёрный,автомат,задний,Дизель,Екатеринбург
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),164000,2,184,2017,2450000,серебристый,автомат,задний,Бензин,Санкт-Петербург
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),55000,2,190,2019,3940000,белый,автомат,полный,Дизель,Екатеринбург
Audi A4 V (B9),Audi,A4 V (B9),94000,2,190,2017,2060000,белый,механика,передний,Дизель,Москва
BMW 5 серии 540i xDrive VII (G30/G31),BMW,5 серии 540i xDrive VII (G30/G31),93000,3,340,2018,3190000,чёрный,автомат,полный,Бензин,Санкт-Петербург
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),52000,2,150,2016,2480000,чёрный,механика,передний,Дизель,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",222000,2,184,2016,2120000,синий,механика,задний,Бензин,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),138000,2,150,2016,2220000,чёрный,механика,полный,Дизель,Санкт-Петербург
BMW 5 серии M550d xDrive VII (G30/G31),BMW,5 серии M550d xDrive VII (G30/G31),73000,3,400,2018,4580000,серый,автомат,полный,Дизель,Москва
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),23000,2,190,2021,4690000,серый,автомат,полный,Дизель,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",35000,"1,5",184,2018,3980000,синий,автомат,задний,Бензин,Москва
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",76000,3,333,2017,3690000,белый,автомат,полный,Бензин,Москва
BMW 3 серии 318i VII (G2x),BMW,3 серии 318i VII (G2x),27000,2,156,2020,4580000,синий,автомат,задний,Бензин,Москва
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),72000,3,245,2019,4040000,чёрный,робот,полный,Дизель,Ижевск
Audi A4 V (B9),Audi,A4 V (B9),77000,2,190,2018,2930000,белый,механика,передний,Дизель,Москва
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),26000,2,190,2021,4250000,оранжевый,автомат,полный,Дизель,Иркутск
Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 350 d Long 4MATIC VII (W223),1000,"2,9",286,2022,16700000,чёрный,автомат,полный,Дизель,Москва
BMW 5 серии M550d xDrive VII (G30/G31),BMW,5 серии M550d xDrive VII (G30/G31),89000,3,400,2019,3640000,чёрный,автомат,полный,Дизель,Екатеринбург
BMW 5 серии M550d xDrive VII (G30/G31),BMW,5 серии M550d xDrive VII (G30/G31),230000,3,400,2017,4250000,коричневый,автомат,полный,Дизель,Ижевск
Mercedes-Benz S-Класс 450 Long VII (W223),Mercedes-Benz,S-Класс 450 Long VII (W223),3000,3,367,2021,17990000,чёрный,автомат,полный,Бензин,Иркутск
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),86000,2,184,2018,4200000,белый,автомат,задний,Бензин,Иваново
BMW 5 серии M550i xDrive VII (G30/G31),BMW,5 серии M550i xDrive VII (G30/G31),103000,"4,4",462,2017,3600000,чёрный,автомат,полный,Бензин,Санкт-Петербург
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),90000,2,190,2019,3570000,серый,автомат,задний,Дизель,Тюмень
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),128000,2,190,2019,3350000,чёрный,автомат,полный,Дизель,Казань
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),126000,2,249,2018,3350000,синий,автомат,полный,Бензин,Санкт-Петербург
Audi A6 40 TFSI V (C8),Audi,A6 40 TFSI V (C8),21000,2,190,2020,4790000,чёрный,робот,передний,Бензин,Ростов-на-Дону
BMW 3 серии M340d xDrive VII (G2x),BMW,3 серии M340d xDrive VII (G2x),78000,3,340,2019,3190000,чёрный,автомат,полный,Дизель,Гомель
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),128000,2,190,2019,3350000,чёрный,автомат,полный,Дизель,Казань
"Mercedes-Benz E-Класс 350 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 d V (W213, S213, C238)",35000,3,258,2019,4140000,чёрный,автомат,полный,Дизель,Москва
Audi A4 V (B9),Audi,A4 V (B9),142000,2,190,2016,1830000,синий,механика,полный,Дизель,Липецк
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),50000,2,245,2021,4190000,чёрный,робот,полный,Бензин,Москва
Audi A6 40 TFSI V (C8),Audi,A6 40 TFSI V (C8),86000,2,190,2018,3950000,чёрный,робот,передний,Бензин,Тула
Audi A6 55 TFSI e V (C8),Audi,A6 55 TFSI e V (C8),125000,2,367,2019,3620000,серый,робот,полный,Гибрид,Москва
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),92000,2,265,2018,4150000,серый,робот,передний,Бензин,Москва
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",18000,2,197,2019,4350000,чёрный,автомат,полный,Бензин,Москва
BMW 3 серии 318d VII (G2x),BMW,3 серии 318d VII (G2x),28000,2,150,2019,3650000,белый,механика,задний,Дизель,Химки
"Mercedes-Benz E-Класс 350 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 d V (W213, S213, C238)",92000,3,258,2016,2250000,белый,автомат,полный,Дизель,Казань
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",167000,2,258,2016,2850000,чёрный,автомат,задний,Бензин,Липецк
Audi A4 ultra V (B9),Audi,A4 ultra V (B9),137000,2,190,2019,2600000,чёрный,робот,передний,Дизель,Микрорайон Первомайский
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),53000,2,184,2018,2530000,чёрный,автомат,задний,Бензин,Краснодар
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),356000,2,190,2018,2230000,чёрный,автомат,задний,Дизель,Москва
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",42000,2,245,2019,4380000,синий,автомат,задний,Бензин,Москва
BMW 3 серии 320i xDrive VII (G2x),BMW,3 серии 320i xDrive VII (G2x),56000,2,184,2020,3980000,белый,автомат,полный,Бензин,Самара
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),47000,2,252,2019,4740000,белый,автомат,полный,Бензин,Москва
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),56000,2,245,2021,4550000,белый,робот,полный,Бензин,Оренбург
"Mercedes-Benz E-Класс 220 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 220 d V (W213, S213, C238)",117000,2,194,2017,3610000,зелёный,автомат,полный,Дизель,Москва
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),39000,2,190,2021,4500000,синий,автомат,полный,Дизель,Екатеринбург
"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 200 V (W213, S213, C238)",60000,2,184,2018,4550000,чёрный,автомат,полный,Бензин,Москва
"Mercedes-Benz E-Класс 400 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 d V (W213, S213, C238)",81000,"2,9",340,2019,4350000,серый,автомат,полный,Дизель,Минск
Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),Mercedes-Benz,S-Класс 350 d Long 4MATIC VII (W223),1000,"2,9",286,2022,14140000,чёрный,автомат,полный,Дизель,Москва
Audi A6 50 TDI V (C8),Audi,A6 50 TDI V (C8),30000,3,286,2021,5630000,синий,автомат,полный,Дизель,Ростов-на-Дону
BMW 3 серии 320i xDrive VII (G2x),BMW,3 серии 320i xDrive VII (G2x),34000,2,184,2021,4380000,чёрный,автомат,полный,Бензин,Санкт-Петербург
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),73000,3,249,2018,3100000,серый,автомат,полный,Дизель,Москва
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",103000,2,258,2016,3130000,чёрный,автомат,задний,Бензин,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),79000,"1,4",150,2019,2800000,белый,механика,передний,Бензин,Москва
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),38000,2,184,2020,3330000,синий,автомат,задний,Бензин,Воронеж
BMW 5 серии M550i xDrive VII (G30/G31),BMW,5 серии M550i xDrive VII (G30/G31),58000,"4,4",462,2018,5160000,серый,автомат,полный,Бензин,Воронеж
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),22000,2,184,2020,2920000,серый,автомат,задний,Бензин,Киров
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),44000,2,190,2021,4100000,серый,автомат,полный,Дизель,Краснодар
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",66000,2,245,2018,4650000,чёрный,автомат,задний,Бензин,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),29000,"1,4",150,2019,2620000,чёрный,механика,передний,Бензин,Москва
"Mercedes-Benz E-Класс 350 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 V (W213, S213, C238)",27000,2,299,2018,3750000,зелёный,автомат,задний,Бензин,Москва
